tenure,Contract,MonthlyCharges,TotalCharges,InternetService_Fiber optic,PaymentMethod_Electronic check,OnlineSecurity_No,services_count,tenure_group,avg_charge_per_month
1,0.0,29.85,29.85,False,True,True,1,0,29.85
34,1.0,56.95,1889.5,False,False,False,2,3,55.5735294117647
2,0.0,53.85,108.15,False,False,False,2,0,54.075
45,1.0,42.3,1840.75,False,False,False,3,3,40.90555555555556
2,0.0,70.7,151.65,True,True,True,0,0,75.825
8,0.0,99.65,820.5,True,True,True,3,1,102.5625
22,0.0,89.1,1949.4,True,False,True,2,2,88.60909090909091
10,0.0,29.75,301.9,False,False,False,1,1,30.19
28,0.0,104.8,3046.05,True,True,True,4,3,108.7875
62,1.0,56.15,3487.95,False,False,False,2,4,56.25725806451613
13,0.0,49.95,587.45,False,False,False,1,2,45.18846153846154
16,2.0,18.95,326.8,False,False,False,0,2,20.425
58,1.0,100.35,5681.1,True,False,True,3,4,97.95
49,0.0,103.7,5036.3,True,False,True,4,4,102.78163265306122
25,0.0,105.5,2686.05,True,True,False,5,3,107.442
69,2.0,113.25,7895.15,True,False,False,6,4,114.42246376811592
52,1.0,20.65,1022.95,False,False,False,0,4,19.672115384615385
71,2.0,106.7,7382.25,True,False,False,4,4,103.97535211267606
10,0.0,55.2,528.35,False,False,True,2,1,52.835
21,0.0,90.05,1862.9,True,True,True,3,2,88.70952380952382
1,0.0,39.65,39.65,False,True,True,2,0,39.65
12,1.0,19.8,202.25,False,False,False,0,1,16.854166666666668
1,0.0,20.15,20.15,False,False,False,0,0,20.15
58,2.0,59.9,3505.1,False,False,True,2,4,60.43275862068965
49,0.0,59.6,2970.3,False,False,False,3,4,60.61836734693878
30,0.0,55.3,1530.6,False,False,False,2,3,51.02
47,0.0,99.35,4749.15,True,True,True,3,3,101.04574468085106
1,0.0,30.2,30.2,False,True,True,1,0,30.2
72,2.0,90.25,6369.45,False,False,False,6,4,88.46458333333334
17,0.0,64.7,1093.1,False,False,True,2,2,64.3
71,2.0,96.35,6766.95,True,False,False,4,4,95.30915492957746
2,0.0,95.5,181.65,True,False,True,3,0,90.825
27,1.0,66.15,1874.45,False,False,False,4,3,69.42407407407407
1,0.0,20.2,20.2,False,False,False,0,0,20.2
1,0.0,45.25,45.25,False,False,True,0,0,45.25
72,2.0,99.9,7251.7,True,False,False,4,4,100.71805555555557
5,0.0,69.7,316.9,True,True,True,0,0,63.38
46,0.0,74.8,3548.3,True,False,True,1,3,77.13695652173914
34,0.0,106.35,3549.25,True,True,True,4,3,104.38970588235294
11,0.0,97.85,1105.4,True,False,True,3,1,100.4909090909091
10,1.0,49.55,475.7,False,False,True,1,1,47.57
70,2.0,69.2,4872.35,False,False,False,3,4,69.605
17,1.0,20.75,418.25,False,False,False,0,2,24.602941176470587
63,2.0,79.85,4861.45,False,False,False,5,4,77.16587301587302
13,0.0,76.2,981.45,False,True,False,4,2,75.49615384615385
49,0.0,84.5,3906.7,True,True,True,1,4,79.72857142857143
2,0.0,49.25,97.0,False,False,True,1,0,48.5
2,0.0,80.65,144.15,True,True,True,1,0,72.075
52,2.0,79.75,4217.8,False,False,False,4,4,81.11153846153846
69,2.0,64.15,4254.1,False,False,False,3,4,61.6536231884058
43,0.0,90.25,3838.75,True,True,True,2,3,89.27325581395348
15,0.0,99.1,1426.4,True,False,False,4,2,95.09333333333332
25,0.0,69.5,1752.65,False,False,False,3,3,70.10600000000001
8,0.0,80.65,633.3,True,False,True,1,1,79.1625
60,1.0,74.85,4456.35,False,False,False,5,4,74.27250000000001
18,0.0,95.45,1752.55,True,True,True,2,2,97.36388888888888
63,1.0,99.65,6311.2,True,False,False,3,4,100.17777777777778
66,1.0,108.45,7076.35,True,True,True,5,4,107.21742424242424
34,2.0,24.95,894.3,False,False,False,0,3,26.302941176470583
72,2.0,107.5,7853.7,True,False,True,4,4,109.07916666666668
47,0.0,100.5,4707.1,True,True,True,3,3,100.15106382978723
60,0.0,89.9,5450.7,True,False,True,2,4,90.845
72,2.0,42.1,2962.0,False,False,False,3,4,41.138888888888886
18,1.0,54.4,957.1,False,False,True,2,2,53.172222222222224
9,0.0,94.4,857.25,True,True,True,2,1,95.25
3,0.0,75.3,244.1,False,True,True,4,0,81.36666666666666
47,1.0,78.9,3650.35,True,True,True,1,3,77.66702127659575
31,2.0,79.2,2497.2,False,False,True,5,3,80.55483870967741
50,2.0,20.15,930.9,False,False,False,0,4,18.618
10,0.0,79.85,887.35,True,False,False,2,1,88.735
1,0.0,49.05,49.05,False,False,True,1,0,49.05
52,1.0,20.4,1090.65,False,True,False,0,4,20.974038461538463
64,2.0,111.6,7099.0,True,False,False,5,4,110.921875
62,2.0,24.25,1424.6,False,False,False,0,4,22.97741935483871
3,0.0,64.5,177.4,False,False,False,3,0,59.13333333333333
56,1.0,110.5,6139.5,True,True,False,5,4,109.63392857142856
46,1.0,55.65,2688.85,False,False,True,1,3,58.45326086956521
8,0.0,54.65,482.25,False,False,False,2,1,60.28125
30,0.0,74.75,2111.3,False,True,False,4,3,70.37666666666668
45,1.0,25.9,1216.6,False,False,False,0,3,27.035555555555558
1,0.0,79.35,79.35,True,True,True,1,0,79.35
11,0.0,50.55,565.35,False,True,False,3,1,51.39545454545455
